hike_name,difficulty,distance,elevation_gain,latitiude,longitute,drive_time
4T Loop Hike,Easy,4.4 miles,775 feet,Latitude: 45.50287,Longitude: -122.69169,10 minutes
Abbott Butte Hike,Easy,7 miles,"1,500 feet",Latitude: 45.50287,Longitude: -122.69169,10 minutes
Ainsworth Loop Hike,Easy,0.4 miles,150 feet,Latitude: 45.59232,Longitude: -122.0584,40 minutes
Airport Park Loop Hike,Easy,1.4 miles,30 feet,Latitude: 45.1973,Longitude: -123.1466,55 minutes
Alder Flat Hike,Easy,1.6 miles,210 feet,Latitude: 45.0807,Longitude: -122.0562,70 minutes
Alder Island Loop Hike,Easy,0.8 miles,5 feet,Latitude: 44.89535,Longitude: -124.00874,2 hours
Alder Ridge Loop Hike,Easy,2.6 miles,380 feet,Latitude: 45.48313,Longitude: -122.30071,40 minutes
Alder-Wildwood Loop Hike,Easy,2.9 miles,460 feet,Latitude: 45.53838,Longitude: -122.73407,15 minutes
Alsea and Green Peak Falls Hike,Easy,4.2 miles,230 feet,Latitude: 44.32410,Longitude: -123.49186,115 minutes
Alton Baker Park Loop Hike,Easy,4.9 miles,30 feet,Latitude: 44.0554,Longitude: -123.0811,
Ape Cave Hike,Easy,2 miles,180 feet,Latitude: 46.108408,Longitude: -122.211442,100 minutes
Arboretum to Pittock Mansion Hike,Easy,3.9 miles,625 feet,Latitude: 45.51530,Longitude: -122.71597,15 minutes
Ascension Trail to Bull Mountain Hike,Easy,2.5 miles,460 feet,Latitude: 45.42765,Longitude: -122.81963,20 minutes
Astoria Demonstration Forest Hike,Easy,2.4 miles,140 feet,Latitude: 46.15359,Longitude: -123.79636,115 minutes
Astoria Riverwalk Hike,Easy,12.8 miles,0 feet,Latitude: 46.18455,Longitude: -123.86291,115 minutes
Audubon Sanctuaries Loop Hike,Easy,3 miles,740 feet,Latitude: 45.52676,Longitude: -122.73013,10 minutes
Avery Park Loop Hike,Easy,1.3 miles,30 feet,Latitude: 44.5554,Longitude: -123.2729,
Bagby Hot Springs Hike,Easy,3.4 miles,200 feet,Latitude: 44.95402,Longitude: -122.17023,90 minutes
Balch Canyon Loop Hike,Easy,2.1 miles,350 feet,Latitude: 45.5361,Longitude: -122.7188,10 minutes
Bald Hill Loop Hike,Easy,3.1 miles,440 feet,Latitude: 44.57635,Longitude: -123.32621,85 minutes
Bald Mountain from Top Spur Hike,Easy,2 miles,550 feet,Latitude: 45.40775,Longitude: -121.78589,
Balfour-Klickitat Loop Hike,Easy,0.7 miles,115 feet,Latitude: 45.69931,Longitude: -121.29345,80 minutes
Bandon Beach Hike,Easy,7.4 miles,,Latitude: 43.1222,Longitude: -124.4283,
Barlow Wayside Loop Hike,Easy,2.7 miles,185 feet,Latitude: 45.3825,Longitude: -122.0374,60 minutes
Bates State Park Loop Hike,Easy,2.3 miles,140 feet,Latitude: 44.5913,Longitude: -118.5131,
Battle Ground Lake Loop Hike,Easy,2.1 miles,205 feet,Latitude: 45.80288,Longitude: -122.49089,
Bear Lake Hike,Easy,2.6 miles,480 feet,Latitude: 45.63621,Longitude: -121.74248,100 minutes
Bear Lake hike,Easy,2.6 miles,480 feet,Latitude: 45.63621,Longitude: -121.74248,100 minutes
Bear lake hike,Easy,2.6 miles,480 feet,Latitude: 45.63621,Longitude: -121.74248,100 minutes
Beaver Bay Hike,Easy,3.9 miles,195 feet,Latitude: 46.06142,Longitude: -122.26358,70 minutes
Beaver Creek Loop Hike,Easy,4.6 miles,440 feet,Latitude: 44.5144,Longitude: -124.0499,150 minutes
Beaver Falls Hike,Easy,0.7 miles,100 feet,Latitude: 46.10387,Longitude: -123.12982,80 minutes
Beazell Memorial Forest Loop Hike,Easy,3.9 miles,885 feet,Latitude: 44.65204,Longitude: -123.42527,2 hours
Bessie Butte Hike,,,,Latitude: 43.95121,Longitude: -121.26262,
Bessie butte hike,Easy,1.58 miles,496 feet,Latitude: 43.95121,Longitude: -121.26262,
Big Creek Falls Hike,Easy,1.4 miles,180 feet,Latitude: 46.09328,Longitude: -121.90723,2.25 hours
Big Creek-Forest Park Hike,Easy,3.6 miles,560 feet,Latitude: 44.65927,Longitude: -124.05532,135 minutes
Big Obsidian Flow Loop Hike,Easy,0.8 miles,200 feet,Latitude: 43.70655,Longitude: -121.23580,
Big Pine Loop Hike,Easy,4.2 miles,180 feet,Latitude: 43.76979,Longitude: -121.51834,3 3/4 hours
Black Lake Loop Hike,Easy,2.6 miles,150 feet,Latitude: 46.31401,Longitude: -124.04256,130 minutes
Black Wolf Meadows-Anvil Lake Hike,Easy,2.6 miles,170 feet,Latitude: 45.14646,Longitude: -121.87041,95 minutes
Bloom Lake Hike,Easy,3.4 miles,675 feet,Latitude: 45.8380,Longitude: -123.5136,60 minutes
Blue Horse Loop Hike,Easy,5.2 miles,560 feet,Latitude: 46.16650,Longitude: -122.26228,90 minutes
Blue Lake Park Loop Hike,Easy,2 miles,30 feet,Latitude: 45.55566,Longitude: -122.44746,20 minutes
Blue horse Loop Hike,Easy,5.2 miles,560 feet,Latitude: 46.16650,Longitude: -122.26228,90 minutes
Bob Bammert Grove Hike,Easy,1.2 miles,315 feet,Latitude: 46.8960,Longitude: -123.0966,2 hours
Bobby Lake Hike,Easy,4.2 miles,275 feet,Latitude: 43.6718,Longitude: -122.0200,
Bonney Butte Hike,Easy,1.2 miles,220 feet,Latitude: 45.26706,Longitude: -121.58939,115 minutes
Bridal Veil Falls Hike,Easy,1.4 miles,205 feet,Latitude: 45.55346,Longitude: -122.18291,35 minutes
Bridal veil falls Hike,Easy,1.4 miles,205 feet,Latitude: 45.55346,Longitude: -122.18291,35 minutes
Bridal veil falls hike,Easy,1.4 miles,205 feet,Latitude: 45.55346,Longitude: -122.18291,35 minutes
Browns Ferry Hike,Easy,2.1 miles,25 feet,Latitude: 45.3833,Longitude: -122.7407,20 minutes
Bryant Woods-Canal Acres Loop Hike,Easy,1.7 miles,40 feet,Latitude: 45.38646,Longitude: -122.72092,20 minutes
Buck Creek Falls Loop Hike,Easy,2.8 miles,770 feet,Latitude: 45.80295,Longitude: -121.53549,75 minutes
Buck Creek on Larch Mountain Hike,Easy,1.8 miles,310 feet,Latitude: 45.51778,Longitude: -122.17206,40 minutes
Bullards Beach Hike,Easy,4.6 miles,,Latitude: 43.1455,Longitude: -124.4156,
Burnside Park-Maddax Woods Hike,Easy,1.1 miles,115 feet,Latitude: 45.3733,Longitude: -122.6203,20 minutes
Burnt Bridge Creek Hike,Easy,"5 miles
7.6 miles
3.6 miles
8.1 miles","20 feet
180 feet
60 feet
120 feet",Latitude: 45.67338,Longitude: -122.69025,20 minutes
Bush's Pasture Loop Hike,Easy,2.2 miles,60 feet,Latitude: 44.93029,Longitude: -123.03469,60 minutes
Calloway Creek Loop Hike,Easy,4.1 miles,330 feet,Latitude: 44.6567,Longitude: -123.2323,85 minutes
Camassia Natural Area Loop Hike,Easy,1.4 miles,160 feet,Latitude: 45.35922,Longitude: -122.61824,30 minutes
Canby Logging Road Hike,Easy,7.3 miles,90 feet,Latitude: 45.2796,Longitude: -122.6790,
Canemah Bluff Loop Hike,Easy,2.4 miles,190 feet,Latitude: 45.34487,Longitude: -122.62571,30 minutes
Cannon Beach Nature Loop Hike,Easy,2.1 miles,10 feet,Latitude: 45.89748,Longitude: -123.96002,90 minutes
Cape Disappointment Hike,Easy,2.9 miles,385 feet,Latitude: 46.28259,Longitude: -124.05878,135 minutes
Cape Falcon Hike,Easy,4.8 miles,160 feet,Latitude: 45.76312,Longitude: -123.95607,105 minutes
Cape Flattery Hike,Easy,1.5 miles,270 feet,Latitude: 48.3849,Longitude: -124.7157,6 hours
Cape Kiwanda Hike,Easy,2.2 miles,230 feet,Latitude: 45.20239,Longitude: -123.96697,120 minutes
Cape Lookout South Hike,Easy,3.6 miles,840 feet,Latitude: 45.34132,Longitude: -123.97445,105 minutes
Cape Meares Lighthouse Hike,Easy,1.7 miles,305 feet,Latitude: 45.48588,Longitude: -123.97459,100 minutes
Cape Mountain Loop Hike,Easy,3.5 miles,,Latitude: 44.09659,Longitude: -124.07092,
Cape falcon hike,Easy,4.8 miles,160 feet,Latitude: 45.76312,Longitude: -123.95607,105 minutes
Capitol Lake Loop Hike,Easy,2.5 miles,100 feet,Latitude: 47.04346,Longitude: -122.90623,2 hours
Carty Lake Hike,Easy,2.8 miles,60 feet,Latitude: 45.83128,Longitude: -122.74806,45 minutes
Cascade Locks West Loop Hike,Easy,3 miles,100 feet,Latitude: 45.66177,Longitude: -121.89848,45 minutes
Cascade Streamwatch Loop Hike,Easy,4.4 miles,40 feet,Latitude: 45.3501,Longitude: -121.9924,60 minutes
Castle Rock Riverfront Hike,Easy,3.5 miles,150 feet,Latitude: 46.2649,Longitude: -122.9009,1 hour
Catalpa Lake Hike,Easy,1.4 miles,150 feet,Latitude: 45.21839,Longitude: -121.63230,110 minutes
Cathedral Hills Loop Hike,Easy,3.8 miles,425 feet,Latitude: 42.39397,Longitude: -123.33391,
Cathedral Tree-Coxcomb Hill Hike,Easy,3 miles,565 feet,Latitude: 46.18689,Longitude: -123.81071,2 hours
Cathedral Trees Loop Hike,Easy,3.3 miles,205 feet,Latitude: 41.3730,Longitude: -124.0140,
Catherine Creek Arch Loop Hike,Easy,3.4 miles,500 feet,Latitude: 45.71047,Longitude: -121.36214,80 minutes
Catherine Creek State Park Loop Hike,Easy,2.7 miles,445 feet,Latitude: 45.1513,Longitude: -117.7357,
Catherine Creek Universal Access Hike,Easy,1.2 miles,90 feet,Latitude: 45.71047,Longitude: -121.36214,80 minutes
Catherine Creek West Loop Hike,Easy,3.4 miles,"1,040 feet",Latitude: 45.71047,Longitude: -121.36214,80 minutes
Cazadero Trail Hike,Easy,6.1 miles,220 feet,Latitude: 45.4291,Longitude: -122.3755,50 minutes
Cedar Butte Hike,Easy,1.6 miles,780 feet,Latitude: 45.5828,Longitude: -123.6460,80 minutes
Cedar Mill-North Johnson Creek Loop Hike,Easy,5.1 miles,350 feet,Latitude: 45.52631,Longitude: -122.80084,20 minutes
Cedar Wetlands Hike,Easy,0.4 miles,10 feet,Latitude: 45.60109,Longitude: -123.93747,100 minutes
Cedar butte Hike,Easy,1.6 miles,780 feet,Latitude: 45.5828,Longitude: -123.6460,80 minutes
Champoeg Loop Hike,Easy,3.4 miles,120 feet,Latitude: 45.24890,Longitude: -122.89250,45 minutes
Champoeg to Butteville Hike,Easy,5.8 miles,300 feet,Latitude: 45.24890,Longitude: -122.89250,45 minutes
Chehalem Glenn Loop Hike,Easy,4.1 miles,320 feet,Latitude: 45.2996,Longitude: -122.9398,35 minutes
Chehalis River Discovery Loop Hike,Easy,4 miles,10 feet,Latitude: 46.7578,Longitude: -123.0183,100 minutes
Chenamus Lake Hike,Easy,4.1 miles,485 feet,Latitude: 46.04876,Longitude: -121.80935,95 minutes
Chenoweth Tableland Loop Hike,Easy,3.5 miles,620 feet,Latitude: 45.62715,Longitude: -121.22913,90 minutes
Chetco Point Hike,Easy,1.1 miles,,Latitude: 42.0474,Longitude: -124.2875,
Chetco Redwoods Loop Hike,Easy,2.6 miles,520 feet,Latitude: 42.1126,Longitude: -124.1873,
Circle Creek Loop Hike,Easy,3.2 miles,25 feet,Latitude: 45.9545,Longitude: -123.9317,80 minutes
Clackamette Loop Hike,Easy,4.3 miles,90 feet,Latitude: 45.3717,Longitude: -122.6026,25 minutes
Clarno Palisades Hike,Easy,1.2 miles,465 feet,Latitude: 44.91149,Longitude: -120.41555,
Clatsop Loop Hike,Easy,3 miles,785 feet,Latitude: 45.9310,Longitude: -123.9783,90 minutes
Clatsop Spit Loop Hike,Easy,4.6 miles,10 feet,Latitude: 46.226373,Longitude: -123.99053,2 hours
Coastal Forest Loop Hike,Easy,1.5 miles,130 feet,Latitude: 46.28433,Longitude: -124.05436,135 minutes
Coffenbury Lake Loop Hike,Easy,2.4 miles,35 feet,Latitude: 46.17853,Longitude: -123.96584,120 minutes
Coffin Butte Hike,Easy,1.7 miles,445 feet,Latitude: 44.7050,Longitude: -123.2222,90 minutes
Collier State Park Loop Hike,Easy,4.1 miles,115 feet,Latitude: 42.6424,Longitude: -121.8814,
Columbia Children's Arboretum Loop Hike,Easy,1 miles,5 feet,Latitude: 45.5961,Longitude: -122.6618,10 minutes
Columbia River Dike Hike,Easy,6.4 miles,30 feet,Latitude: 45.57617,Longitude: -122.35556,25 minutes
Columbia Springs Hike,Easy,3.1 miles,165 feet,Latitude: 45.59969,Longitude: -122.54708,20 minutes
Columbian White-tailed Deer Refuge Loop Hike,Easy,6.1 miles,10 feet,Latitude: 46.23240,Longitude: -123.39961,95 minutes
Commonwealth Lake Loop Hike,Easy,1.7 miles,75 feet,Latitude: 45.513411,Longitude: -122.805997,20 minutes
Constitution Grove Loop Hike,Easy,0.4 miles,50 feet,Latitude: 43.8815,Longitude: -122.1190,
Cook and Durham City Parks Hike,Easy,5.7 miles,180 feet,Latitude: 45.39715,Longitude: -122.77316,15 minutes
Cooper Mountain Loop Hike,Easy,3.1 miles,300 feet,Latitude: 45.452650,Longitude: -122.870767,25 minutes
Cooper Ridge-South Beach Loop Hike,Easy,3.3 miles,70 feet,Latitude: 44.60116,Longitude: -124.06495,140 minutes
Corvallis Riverfront Hike,Easy,2.2 miles,20 feet,Latitude: 44.5681,Longitude: -123.2565,
Cougar Trails Loop Hike,Easy,2.6 miles,230 feet,Latitude: 45.7318,Longitude: -122.6321,25 minutes
Cougar Valley Hike,Easy,4.6 miles,855 feet,Latitude: 45.71335,Longitude: -123.76176,110 minutes
Council Crest Hike,Easy,3.3 miles,820 feet,Latitude: 45.50287,Longitude: -122.69169,10 minutes
Cox Creek to Talking Waters Hike,Easy,2.8 miles,50 feet,Latitude: 44.6415,Longitude: -123.0671,60 minutes
Crescent Beach Hike,Easy,3.6 miles,310 feet,Latitude: 45.9195,Longitude: -123.9735,95 minutes
Croisan Creek Hike,Easy,4.5 miles,650 feet,Latitude: 44.8845,Longitude: -123.0801,55 minutes
Crystal Springs-Reed Canyon Hike,Easy,2.4 miles,145 feet,Latitude: 45.48013,Longitude: -122.63543,10 minutes
Cullaby Lake Loop Hike,Easy,1.5 miles,30 feet,Latitude: 46.0856,Longitude: -123.9084,105 minutes
Curly Creek Falls Hike,Easy,0.4 miles,10 feet,Latitude: 46.0607,Longitude: -121.9728,105 minutes
Cutler City Wetlands Loop Hike,Easy,0.8 miles,5 feet,Latitude: 44.9184,Longitude: -124.0131,110 minutes
Dabney Loop Hike,Easy,2.3 miles,90 feet,Latitude: 45.5168,Longitude: -122.3556,30 minutes
Dry Canyon Loop Hike,Easy,4.8 miles,80 feet,Latitude: 44.3022,Longitude: -121.1902,
Dry Creek Falls Hike,Easy,4.4 miles,725 feet,Latitude: 45.66254,Longitude: -121.89637,45 minutes
Duncan Creek Hike,Moderate,4.3 miles,"1,100 feet",Latitude: 45.63603,Longitude: -122.08526,55 minutes
E.E. Wilson Loop Hike,Easy,1.2 miles,20 feet,Latitude: 44.6995,Longitude: -123.2086,90 minutes
Eagle Creek Overlook Hike,Easy,0.6 miles,175 feet,Latitude: 45.6411,Longitude: -121.9317,50 minutes
Eagle Creek to High Bridge Hike,Easy,6.4 miles,840 feet,Latitude: 45.63653,Longitude: -121.91947,45 minutes
Eagle Creek to Punch Bowl Falls Hike,Easy,3.8 miles,500 feet,Latitude: 45.63653,Longitude: -121.91947,45 minutes
Eagle Creek to Punchbowl Falls Hike,,,,Latitude: 45.63653,Longitude: -121.91947,45 minutes
Eagles Rest Hike,Easy,4.6 miles,"1,400 feet",Latitude: 43.8399,Longitude: -122.7122,2.3 hours
EasyCLIMB Loop Hike,Easy,2.8 miles,170 feet,Latitude: 45.6866,Longitude: -121.8546,55 minutes
Echo Basin Hike,Easy,2 miles,400 feet,Latitude: 44.4129,Longitude: -122.0854,2.5 hours
Echo Meadows Hike,Easy,1.4 miles,70 feet,Latitude: 45.72004,Longitude: -119.30938,3 hours
Ecola Creek Forest Loop Hike,Easy,3.1 miles,445 feet,Latitude: 45.8874,Longitude: -123.9499,90 minutes
Elijah Bristow Loop Hike,Easy,5.1 miles,20 feet,Latitude: 43.9398,Longitude: -122.8432,
Elk Lake Creek Hike,Easy,4.4 miles,400 feet,Latitude: 44.89300,Longitude: -122.00741,105 minutes
Elk Rock Island Hike,Easy,1.3 miles,130 feet,Latitude: 45.4345,Longitude: -122.6440,15 minutes
Ellen Davis Trail Hike,Easy,5.2 miles,420 feet,Latitude: 45.65069,Longitude: -122.65771,20 minutes
Elowah Falls Hike,Easy,1.4 miles,280 feet,Latitude: 45.6124,Longitude: -122.00428,45 minutes
"Enchanted Valley, Oregon Hike",Easy,4 miles,80 feet,Latitude: 44.0603,Longitude: -124.0530,3.25 hours
Erratic Rock Hike,Easy,0.5 miles,110 feet,Latitude: 45.1376,Longitude: -123.2908,60 minutes
Ewing Young Loop Hike,Easy,1.4 miles,110 feet,Latitude: 45.2905,Longitude: -122.9765,40 minutes
Fall Creek Falls Hike,Easy,2.2 miles,380 feet,Latitude: 43.3134,Longitude: -122.8356,4 hours
Fanno Creek Beaverton Hike,Easy,8.5 miles,125 feet,Latitude: 45.467380,Longitude: -122.751878,20 minutes
Fanno Creek Tigard Hike,Easy,8 miles,40 feet,Latitude: 45.43355,Longitude: -122.78277,20 minutes
Fern Canyon Loop Hike,Easy,1.2 miles,130 feet,Latitude: 41.4006,Longitude: -124.0658,
Fernhill Wetlands Loop Hike,Easy,2.3 miles,40 feet,Latitude: 45.5095,Longitude: -123.0904,45 minutes
Fields Bridge Hike,Easy,1.5 miles,195 feet,Latitude: 45.34655,Longitude: -122.67174,20 minutes
Firelane 7-Springville Road Loop Hike,Easy,4.9 miles,"1,120 feet",Latitude: 45.57450,Longitude: -122.78920,15 minutes
