hike_name,difficulty,distance,elevation_gain,latitiude,longitute,drive_time
Fish Hatchery Park Loop Hike,Easy,1.5 miles,140 feet,Latitude: 42.3553,Longitude: -123.4086,
Fivemile Point Hike,Easy,4.4 miles,,Latitude: 43.2361,Longitude: -124.3904,
Fort Cascades Loop Hike,Easy,1.3 miles,15 feet,Latitude: 45.6444,Longitude: -121.9581,50 minutes
Fort Columbia Loop Hike,Easy,4.3 miles,940 feet,Latitude: 46.2522,Longitude: -123.9190,2 hours
Fort Hoskins Loop Hike,Easy,1.8 miles,430 feet,Latitude: 44.67593,Longitude: -123.46330,100 minutes
Fort Rains Hike,Easy,1.8 miles,80 feet,Latitude: 45.66100,Longitude: -121.90642,1 hour
Fort Rock Loop Hike,Easy,2.3 miles,260 feet,Latitude: 43.3729,Longitude: -121.0662,
Fort Stevens Military Loop Hike,Easy,2.6 miles,20 feet,Latitude: 46.20619,Longitude: -123.96542,110 minutes
Fort Yamhill Loop Hike,Easy,0.5 miles,100 feet,Latitude: 45.0696,Longitude: -123.5695,75 minutes
Four County Point Hike,Easy,2.1 miles,75 feet,Latitude: 45.7805,Longitude: -123.3517,50 minutes
Frances Shrader Old Growth Hike,Easy,1 miles,100 feet,Latitude: 42.4907,Longitude: -124.2846,
Friends of the Wildwoods Hike,Easy,1 miles,45 feet,Latitude: 44.98366,Longitude: -123.99754,100 minutes
Gearhart Ridge Path Loop Hike,Easy,3 miles,30 feet,Latitude: 46.02424,Longitude: -123.91972,100 minutes
Gee Creek Ridge Loop Hike,Easy,1.8 miles,185 feet,Latitude: 45.8159,Longitude: -122.7266,40 minutes
George Himes-Willamette Park Loop Hike,Easy,3.6 miles,490 feet,Latitude: 45.4772,Longitude: -122.6836,10 minutes
George Rogers Park Hike,Easy,3.4 miles,150 feet,Latitude: 45.4106,Longitude: -122.6608,15 minutes
Gillette Lake Hike,Easy,5.6 miles,650 feet,Latitude: 45.65032,Longitude: -121.93389,55 minutes
Goat Marsh Lake Hike,Easy,1.5 miles,80 feet,Latitude: 46.15443,Longitude: -122.26939,95 minutes
Golden and Silver Falls Hike,Easy,3.1 miles,515 feet,Latitude: 43.4820,Longitude: -123.9333,
Graham Oaks Loop Hike,Easy,3.1 miles,60 feet,Latitude: 45.2973,Longitude: -122.7987,25 minutes
Grassy Knob Hike,Easy,0.8 miles,290 feet,Latitude: 42.7524,Longitude: -124.3789,
Green Springs Mountain Loop Hike,Easy,2.9 miles,340 feet,Latitude: 42.1400,Longitude: -122.4973,
Gresham-Fairview Trail Hike,Easy,6.7 miles,130 feet,Latitude: 45.53335,Longitude: -122.45668,20 minutes
Guler Ice Cave Hike,Easy,2.2 miles,80 feet,Latitude: 45.9633,Longitude: -121.6208,110 minutes
Hamilton Creek Loop Hike,Easy,2.3 miles,20 feet,Latitude: 45.6385,Longitude: -121.9742,1 hour
Happy Valley Park Loop Hike,Easy,3 miles,290 feet,Latitude: 45.4536,Longitude: -122.5206,35 minutes
Hard Stone Trail Hike,Easy,5.2 miles,110 feet,Latitude: 45.4770,Longitude: -120.4721,
Harris Beach Loop Hike,Easy,2.8 miles,,Latitude: 42.0684,Longitude: -124.3148,
Harvey Creek Loop Hike,Easy,1.6 miles,345 feet,Latitude: 45.28774,Longitude: -123.02494,45 minutes
Hat Rock Loop Hike,Easy,2.8 miles,235 feet,Latitude: 45.9151,Longitude: -119.1705,3 hours
Hawk Mountain Lookout Hike,Easy,4 miles,600 feet,Latitude: 44.84069,Longitude: -121.94742,2 hours
Hayden Bay Loop Hike,Easy,2.5 miles,10 feet,Latitude: 45.6117,Longitude: -122.6762,10 minutes
Headwaters Loop Hike,Easy,5.4 miles,330 feet,Latitude: 45.10174,Longitude: -121.74673,100 minutes
Heart Lake Hike,Easy,2 miles,150 feet,Latitude: 46.15688,Longitude: -121.41226,140 minutes
Heart lake Hike,Easy,2 miles,150 feet,Latitude: 46.15688,Longitude: -121.41226,140 minutes
Hebo Lake Loop Hike,Easy,0.4 miles,10 feet,Latitude: 45.23003,Longitude: -123.79559,115 minutes
Heceta Head Hike,Easy,1.5 miles,165 feet,Latitude: 44.1349,Longitude: -124.1228,175 minutes
Hendricks Park Loop Hike,Easy,2.3 miles,240 feet,Latitude: 44.0378,Longitude: -123.0567,
Henline Falls Hike,Easy,1.8 miles,200 feet,Latitude: 44.84641,Longitude: -122.32454,105 minutes
Heritage Landing Hike,Easy,3.8 miles,55 feet,Latitude: 45.6297,Longitude: -120.9118,100 minutes
Herman Creek Pinnacles Hike,Easy,4.6 miles,"1,305 feet",Latitude: 45.68280,Longitude: -121.84249,1 hour
Hess Creek Canyon Loop Hike,Easy,1.5 miles,85 feet,Latitude: 45.30577,Longitude: -122.96406,35 minutes
Hidden Beach-Yurok Loop Hike,Easy,2.1 miles,180 feet,Latitude: 41.59421,Longitude: -124.09925,
High Rock Hike,Easy,1.1 miles,325 feet,Latitude: 45.1613,Longitude: -121.8941,2 hours
Hilgard Junction Hike,Easy,1.6 miles,15 feet,Latitude: 45.3416,Longitude: -118.2369,
Hillockburn Trail Hike,Easy,2.9 miles,900 feet,Latitude: 45.1778,Longitude: -122.2486,65 minutes
Historic Astoria Loop Hike,Easy,2.3 miles,240 feet,Latitude: 46.1878,Longitude: -123.8348,2 hours
Hobart Bluff Hike,Easy,2.4 miles,360 feet,Latitude: 42.08555,Longitude: -122.48209,
Hoffer Lakes Hike,Easy,2.5 miles,340 feet,Latitude: 44.9616,Longitude: -118.2309,5 hours
Hoh Rain Forest Loop Hike,Easy,2.2 miles,190 feet,Latitude: 47.8602,Longitude: -123.9345,5 hours
Holman Lane Loop Hike,Easy,2.3 miles,730 feet,Latitude: 45.5335,Longitude: -122.7331,15 minutes
Honeyman State Park Loop Hike,Easy,6.6 miles,,Latitude: 43.9292,Longitude: -124.1128,
Hood River Pipeline Hike,Easy,3.3 miles,110 feet,Latitude: 45.7039,Longitude: -121.5058,70 minutes
Hopkins Forest Loop Hike,Easy,3.3 miles,715 feet,Latitude: 45.2496,Longitude: -122.5227,35 minutes
Horse Rock Ridge Hike,Easy,3.2 miles,660 feet,Latitude: 44.29292,Longitude: -122.86835,2 hours
Horsetail Falls Loop Hike,Easy,2.6 miles,610 feet,Latitude: 45.59044,Longitude: -122.06857,45 minutes
Horsethief Butte Hike,Easy,1.7 miles,250 feet,Latitude: 45.65075,Longitude: -121.09856,90 minutes
Howard Creek Loop Hike,Easy,3.1 miles,280 feet,Latitude: 44.8642,Longitude: -122.6425,90 minutes
Hoyt Arboretum Loop Hike,Easy,4.7 miles,425 feet,Latitude: 45.51275,Longitude: -122.71661,10 minutes
Hug Point Hike,Easy,0.5 miles,20 feet,Latitude: 45.82866,Longitude: -123.96084,100 minutes
Hug Point to Arch Cape Hike,Easy,4.5 miles,40 feet,Latitude: 45.82866,Longitude: -123.96084,100 minutes
Hummocks Loop Hike,Easy,2.7 miles,100 feet,Latitude: 46.2867,Longitude: -122.2717,110 minutes
Hurricane Hill Hike,Easy,3 miles,"1,100 feet",Latitude: 47.97627,Longitude: -123.51739,5 hours
Indian Creek Hike,Easy,3.2 miles,250 feet,Latitude: 45.70533,Longitude: -121.50802,70 minutes
Indian Racetrack Hike,Easy,4.6 miles,760 feet,Latitude: 45.96601,Longitude: -121.84495,85 minutes
Ives Island Add-on Hike,Easy,3.3 miles,30 feet,Latitude: 45.6276,Longitude: -121.9785,50 minutes
Ives island Add-on Hike,Easy,3.3 miles,30 feet,Latitude: 45.6276,Longitude: -121.9785,50 minutes
Iwetemlaykin Hike,Easy,2.3 miles,145 feet,Latitude: 45.3429,Longitude: -117.2239,
Jackson Bottom Loop Hike,Easy,4.7 miles,35 feet,Latitude: 45.50060,Longitude: -122.99063,30 minutes
Jackson-Frazier Wetland Loop Hike,Easy,0.8 miles,0 feet,Latitude: 44.6041,Longitude: -123.2399,95 minutes
Jasper Point Hike,Easy,4 miles,315 feet,Latitude: 44.1277,Longitude: -120.7229,
Jean Lake Hike,Easy,0.8 miles,240 feet,Latitude: 45.30644,Longitude: -121.57237,125 minutes
Jenkins Estate Loop Hike,Easy,1.7 miles,350 feet,Latitude: 45.4624,Longitude: -122.8920,25 minutes
Jenne Butte Hike,Easy,3.3 miles,690 feet,Latitude: 45.48853,Longitude: -122.47011,30 minutes
Joe Dancer Loop Hike,Easy,2.2 miles,45 feet,Latitude: 45.2079,Longitude: -123.1815,1 hour
John Dellenback Dunes Loop Hike,Easy,4 miles,,Latitude: 43.58392,Longitude: -124.18533,
Johnson Creek Hike,Easy,4.1 miles,140 feet,Latitude: 45.46144,Longitude: -122.64204,15 minutes
Jordan Woods Hike,Easy,1.7 miles,180 feet,Latitude: 45.52843,Longitude: -122.78933,20 minutes
Joyce Lake Loop Hike,Easy,0.6 miles,60 feet,Latitude: 44.9468,Longitude: -122.2498,115 minutes
Junction Lake Hike,Easy,5 miles,725 feet,Latitude: 45.98032,Longitude: -121.75946,110 minutes
June Lake Hike,Easy,2.8 miles,440 feet,Latitude: 46.13691,Longitude: -122.15192,1 hour and 45 minutes
Keizer Rapids Loop Hike,Easy,2.4 miles,55 feet,Latitude: 44.9971,Longitude: -123.0622,55 minutes
Kelley Point Loop Hike,Easy,1.7 miles,45 feet,Latitude: 45.64358,Longitude: -122.76527,15 minutes
Kelly Creek Loop Hike,Easy,1.2 miles,130 feet,Latitude: 45.48752,Longitude: -122.38252,35 minutes
Kentucky Falls Hike,Easy,4 miles,650 feet,Latitude: 43.9282,Longitude: -123.7937,3.5 hours
Kilchis Point Loop Hike,Easy,2.2 miles,20 feet,Latitude: 45.51263,Longitude: -123.88161,90 minutes
Killin Wetlands Loop Hike,Easy,0.7 miles,60 feet,Latitude: 45.6161,Longitude: -123.1527,30 minutes
Kiwa Trail Loop Hike,Easy,1.2 miles,0 feet,Latitude: 45.79912,Longitude: -122.75613,45 minutes
Klickitat Canyon Hike,Easy,6.8 miles,100 feet,Latitude: 45.83468,Longitude: -121.08058,100 minutes
Klickitat Trail: Klickitat Mineral Springs Hike,Easy,5.2 miles,50 feet,Latitude: 45.82330,Longitude: -121.09857,100 minutes
La Center Loop Hike,Easy,4.2 miles,310 feet,Latitude: 45.8621,Longitude: -122.6718,30 minutes
Labyrinth Hike,Easy,3.6 miles,915 feet,Latitude: 45.70519,Longitude: -121.38324,80 minutes
Lacamas Heritage Trail Hike,Easy,7 miles,30 feet,Latitude: 45.60490,Longitude: -122.41157,35 minutes
Lake Marie Loop Hike,Easy,1.7 miles,,Latitude: 43.66093,Longitude: -124.19789,
Lake Sacajawea Loop Hike,Easy,3.6 miles,35 feet,Latitude: 46.12755,Longitude: -122.94369,45 minutes
Langfield Falls Hike,Easy,0.5 miles,80 feet,Latitude: 46.0990,Longitude: -121.7201,115 minutes
Latourell Falls Loop Hike,Easy,2.4 miles,625 feet,Latitude: 45.53880,Longitude: -122.21757,40 minutes
Laurel Hill Chute Loop Hike,Easy,0.6 miles,230 feet,Latitude: 45.31121,Longitude: -121.80145,70 minutes
Lava Canyon Loop Hike,Moderate,1.1 miles,500 feet,Latitude: 46.16569,Longitude: -122.08804,1.75 hours
Lava Cast Forest Loop Hike,Easy,1 miles,60 feet,Latitude: 43.81735,Longitude: -121.28862,
Leadbetter Point Loop Hike,Moderate,7.7 miles,130 feet,Latitude: 46.58862,Longitude: -124.03013,165 minutes
Lemolo Falls via North Umpqua Trail Hike,Easy,3.5 miles,450 feet,Latitude: 43.3292,Longitude: -122.2028,
Lewis and Clark Park Hike,Easy,3 miles,100 feet,Latitude: 45.54151,Longitude: -122.37992,25 minutes
Lewis and Clark State Park Loop Hike,Easy,4.8 miles,340 feet,Latitude: 46.5224,Longitude: -122.8134,85 minutes
Lewisburg Saddle Old Growth Hike,Easy,2 miles,240 feet,Latitude: 44.63676,Longitude: -123.29578,105 minutes
Lewisville Park Loop Hike,Easy,2.8 miles,140 feet,Latitude: 45.8126,Longitude: -122.5469,35 minutes
Liahona Loop Hike,Easy,3.6 miles,730 feet,Latitude: 45.92732,Longitude: -123.04884,85 minutes
Link River Hike,Easy,3.4 miles,85 feet,Latitude: 42.2192,Longitude: -121.7919,
Linton Lake Hike,Easy,3 miles,250 feet,Latitude: 44.17663,Longitude: -121.91400,2.75 hours
Lithia Park Loop Hike,Easy,3.1 miles,345 feet,Latitude: 42.19717,Longitude: -122.71498,
Little Beacon Rock Loop Hike,Easy,1.6 miles,375 feet,Latitude: 45.63279,Longitude: -122.01973,1 hour
Little Cowhorn Mountain Hike,Moderate,2 miles,500 feet,Latitude: 44.03735,Longitude: -122.51310,3 hours
Little Crater Lake Hike,Easy,1.4 miles,10 feet,Latitude: 45.1478,Longitude: -121.7478,95 minutes
Little Zigzag Falls Hike,Easy,0.8 miles,180 feet,Latitude: 45.31400,Longitude: -121.79596,65 minutes
Lost Creek Loop Hike,Easy,0.6 miles,10 feet,Latitude: 45.3813,Longitude: -121.8367,80 minutes
Lost Lake Loop Hike,Easy,3.2 miles,60 feet,Latitude: 45.49585,Longitude: -121.82248,2 hours
Lost Lake Old Growth Loop Hike,Easy,2.2 miles,120 feet,Latitude: 45.49585,Longitude: -121.82248,2 hours
Lowami Hart Woods Loop Hike,Easy,1.1 miles,140 feet,Latitude: 45.4658,Longitude: -122.8307,20 minutes
Lower Beaver Creek Canyon Hike,Easy,4.8 miles,325 feet,Latitude: 45.5375,Longitude: -122.3785,25 minutes
Lower Berley Lake Hike,Easy,7.6 miles,763 feet,Latitude: 44.42568,Longitude: -121.84988,2.5 hours
Lower Marble Creek Falls Hike,Easy,1.2 miles,70 feet,Latitude: 45.9568,Longitude: -122.5616,45 minutes
Lower berley lake,Easy,7.6 miles,763 feet,Latitude: 44.42568,Longitude: -121.84988,2.5 hours
Luckiamute Landing Hike,Easy,4 miles,50 feet,Latitude: 44.73205,Longitude: -123.15249,85 minutes
Luckiamute Wetland Hike,Easy,1.1 miles,45 feet,Latitude: 44.71572,Longitude: -123.16297,80 minutes
Luscher Farm-Cooks Butte Loop Hike,Easy,5.7 miles,385 feet,Latitude: 45.39622,Longitude: -122.68729,20 minutes
Magness Tree Farm Loop Hike,Easy,4.5 miles,775 feet,Latitude: 45.2950,Longitude: -122.8526,35 minutes
Maple Ridge Loop Hike,Easy,2.6 miles,370 feet,Latitude: 44.87752,Longitude: -122.65513,80 minutes
Maricara Loop Hike,Easy,0.6 miles,110 feet,Latitude: 45.44911,Longitude: -122.70762,10 minutes
Marshall Park Hike,Easy,3.1 miles,585 feet,Latitude: 45.45526,Longitude: -122.69285,15 minutes
Martin Luther King Park Loop Hike,Easy,2.2 miles,230 feet,Latitude: 44.5906,Longitude: -123.3080,90 minutes
Mary S. Young State Park Loop Hike,Easy,3.7 miles,300 feet,Latitude: 45.38053,Longitude: -122.62804,20 minutes
Marys Peak Meadow Edge Hike,Easy,1.8 miles,450 feet,Latitude: 44.50912,Longitude: -123.55991,2 hours
Marys Peak Summit Hike,Easy,1.5 miles,400 feet,Latitude: 44.51055,Longitude: -123.55068,2 hours
McDowell Creek Falls Loop Hike,Easy,1.8 miles,230 feet,Latitude: 44.4643,Longitude: -122.6827,105 minutes
McLoughlin Promenade Hike,Easy,2.3 miles,275 feet,Latitude: 45.35709,Longitude: -122.60811,25 minutes
McVay Beach Hike,Easy,3.1 miles,,Latitude: 42.0199,Longitude: -124.2359,
Memorial Park to Boones Ferry Landing Hike,Easy,4.1 miles,180 feet,Latitude: 45.3010,Longitude: -122.7594,30 minutes
Merrill Lake Loop Hike,Easy,0.9 miles,145 feet,Latitude: 46.0938,Longitude: -122.3194,75 minutes
Middle Lewis River Falls Loop Hike,Easy,1.1 miles,190 feet,Latitude: 46.16622,Longitude: -121.86705,2.25 hours
Mike Miller Park Loop Hike,Easy,1.2 miles,115 feet,Latitude: 44.60180,Longitude: -124.05204,140 minutes
Mill Creek Greenway Hike,Easy,3.4 miles,45 feet,Latitude: 45.1316,Longitude: -122.8557,40 minutes
Mill Hill Loop Hike,Easy,2.8 miles,110 feet,Latitude: 44.41007,Longitude: -123.33502,115 minutes
Millersylvania Loop Hike,Easy,3.9 miles,180 feet,Latitude: 46.9097,Longitude: -122.9069,95 minutes
Milwaukie Old Town Loop Hike,Easy,2.7 miles,70 feet,Latitude: 45.4424,Longitude: -122.6428,15 minutes
Mima Mounds Loop Hike,Easy,3.2 miles,30 feet,Latitude: 46.9054,Longitude: -123.0475,105 minutes
Minto-Brown Island Loop Hike,Easy,9.3 miles,45 feet,Latitude: 44.92167,Longitude: -123.05875,55 minutes
Minto-Brown Island loop Hike,Easy,9.3 miles,45 feet,Latitude: 44.92167,Longitude: -123.05875,55 minutes
Mirror Lake Hike,Easy,4.4 miles,640 feet,Latitude: 45.30277,Longitude: -121.77728,75 minutes
Molalla River State Park Hike,Easy,2.5 miles,95 feet,Latitude: 45.2954,Longitude: -122.7017,
Moon Falls Hike,Easy,1.1 miles,250 feet,Latitude: 43.734546,Longitude: -122.620661,3.2 hours
Morgan Lake Loop Hike,Easy,2.5 miles,40 feet,Latitude: 44.98335,Longitude: -123.26408,60 minutes
Mosier Plateau Hike,Easy,3.5 miles,760 feet,Latitude: 45.6841,Longitude: -121.3972,1 hour
Mosier plateau hike,Easy,3.5 miles,760 feet,Latitude: 45.6841,Longitude: -121.3972,1 hour
Moulton Falls Hike,Easy,5.9 miles,260 feet,Latitude: 45.8376,Longitude: -122.4344,50 minutes
Mount Baldy Loop Hike,Easy,3.5 miles,510 feet,Latitude: 43.9867,Longitude: -123.0647,
Mount Defiance from Wahtum Lake Road Hike,Easy,3.2 miles,"1,145 feet",Latitude: 45.63621,Longitude: -121.74248,100 minutes
Mount June and Sawtooth Rock Hike,Easy,5 miles,"1,500 feet",Latitude: 43.7918,Longitude: -122.7314,3 hours
Mount Lowe Hike,Easy,3 miles,665 feet,Latitude: 44.97247,Longitude: -121.97665,2 hours
